建筑名称,f
地址,b
建造时间,2024/2/12 12:45:30
翻新时间,2024/2/12 12:45:30
翻修内容,c
玻璃类型,d
建筑层数,16
建筑高度(m),189
使用人数,20000
建筑面积(m^2),1000
占地面积(m^2),100
使用功能,e
危险物品存放情况,f
更换价值(亿元),1.2
该设施为潜在袭击目标,0
该类型设施为潜在袭击目标,0
农业食品,,,
银行金融,,,
化学工业,,,
   商  业   ,,,
制  造  业,3,,
水利设施,,,
国防工业,2,,
紧急服务,,4,
能源设施,,,5
政府设施,,,
信息技术,,,
国家地标,,,
核  工  业,,3,
邮政航运,,,
公共健康,,,1
通信技术,,,
交通运输,,,
供水设施,,,
   合  计   ,5,7,6
1.1 地区类型,0
1.2 设计使用人数,11
1.3 更换价值,5
1.4 是否为历史建筑,0
1.5 功能连续性,0
1.6 损失影响范围,0
2.1 使用用途,0
2.2 设计使用人数,11
2.3 人员密度,0
2.4 象征性,0
2.5.1 区域1内目标密度,4
2.5.2 区域2内目标密度,3
2.5.3 区域3内目标密度,1
2.6 场地总体可达性,0
2.7.1 该设施成为目标的可能性,0
2.7.2 该类型设施成为目标的可能性,0
3.1 与未知车辆的距离,0
3.2 场地周界,0
3.3 无阻碍视线距离(ft),0
3.4 未知安全性的地下通道通达性,0
3.5 危险材料储存,0
3.6 临近地上/地下结构物,0
4.1建筑高度,6
4.2 建筑面积/占地面积,1
4.3 建筑形状,0
4.4 悬挑长度,0
4.5 公共区域与主体结构位置关系,0
4.6 装卸货区与主体结构位置关系,0
4.7 防止车辆小角度冲撞措施,0
4.8 车库位置,0
5.1 玻璃支撑类型,0
5.2 玻璃夹持深度,0
5.3 窗墙面积比,0
5.4 玻璃类型,0
5.5 墙体类型,0
5.6风载碎片防护设计,0
6.1 结构类型,0
6.2 短边方向隔间数量,0
6.3 柱距(ft),0
6.4 柱高,0
6.5 公共区域柱,0
6.6 转换梁,0
6.7 其他有利/不利设计,0
7.1 新风进气系统位置,0
7.2 回风进气系统形式,0
7.3 空气分配系统设计,0
7.4 靠近高风险区域的关键公用设施,0
8.1.1.1 侦测系统数量,0
8.1.1.2整体安保系统效用,0
8.1.2.1 侦测系统数量,0
8.1.2.2整体安保系统效用,0
8.1.3.1 侦测系统数量,0
8.1.3.2整体安保系统效用,0
8.2.1.1 侦测系统数量,0
8.2.1.2整体安保系统效用,0
8.2.2.1 侦测系统数量,0
8.2.2.2整体安保系统效用,0
建筑名称,f
地址,b
建造时间,2024/2/12 12:52:34
翻新时间,2024/2/12 12:52:34
翻修内容,c
玻璃类型,d
建筑层数,16
建筑高度(m),189
使用人数,20000
建筑面积(m^2),1000
占地面积(m^2),100
使用功能,e
危险物品存放情况,f
更换价值(亿元),1.2
该设施为潜在袭击目标,0
该类型设施为潜在袭击目标,0
农业食品,,,
银行金融,,,
化学工业,,,
   商  业   ,,,
制  造  业,3,,
水利设施,,,
国防工业,2,,
紧急服务,,4,
能源设施,,,5
政府设施,,,
信息技术,,,
国家地标,,,
核  工  业,,3,
邮政航运,,,
公共健康,,,1
通信技术,,,
交通运输,,,
供水设施,,,
   合  计   ,5,7,6
1.1 地区类型,0
1.2 设计使用人数,11
1.3 更换价值,5
1.4 是否为历史建筑,0
1.5 功能连续性,0
1.6 损失影响范围,0
2.1 使用用途,0
2.2 设计使用人数,11
2.3 人员密度,0
2.4 象征性,0
2.5.1 区域1内目标密度,4
2.5.2 区域2内目标密度,3
2.5.3 区域3内目标密度,1
2.6 场地总体可达性,0
2.7.1 该设施成为目标的可能性,0
2.7.2 该类型设施成为目标的可能性,0
3.1 与未知车辆的距离,0
3.2 场地周界,0
3.3 无阻碍视线距离(ft),0
3.4 未知安全性的地下通道通达性,0
3.5 危险材料储存,0
3.6 临近地上/地下结构物,0
4.1建筑高度,6
4.2 建筑面积/占地面积,1
4.3 建筑形状,0
4.4 悬挑长度,0
4.5 公共区域与主体结构位置关系,0
4.6 装卸货区与主体结构位置关系,0
4.7 防止车辆小角度冲撞措施,0
4.8 车库位置,0
5.1 玻璃支撑类型,0
5.2 玻璃夹持深度,0
5.3 窗墙面积比,0
5.4 玻璃类型,0
5.5 墙体类型,0
5.6风载碎片防护设计,0
6.1 结构类型,0
6.2 短边方向隔间数量,0
6.3 柱距(ft),0
6.4 柱高,0
6.5 公共区域柱,0
6.6 转换梁,0
6.7 其他有利/不利设计,0
7.1 新风进气系统位置,0
7.2 回风进气系统形式,0
7.3 空气分配系统设计,0
7.4 靠近高风险区域的关键公用设施,0
8.1.1.1 侦测系统数量,0
8.1.1.2整体安保系统效用,0
8.1.2.1 侦测系统数量,0
8.1.2.2整体安保系统效用,0
8.1.3.1 侦测系统数量,0
8.1.3.2整体安保系统效用,0
8.2.1.1 侦测系统数量,0
8.2.1.2整体安保系统效用,0
8.2.2.1 侦测系统数量,0
8.2.2.2整体安保系统效用,0
